Resource,URL,Description,Notes,Type,Expertise to Use,Freemium,Pricing,Use cases,Region,Resource Type,Theme,Category
Content Strategy,,,,,,,,,,,,
Content Pillars,,,,,,,,,,,,
SoMe Content Pillars [Sheet],SoMe Content Pillars,Social media pillars and themes framework for planning,"pillars, themes, categories, examples, post types",Content strategy framework,Beginner,N/A,Free,"plan content calendar, standardize taxonomy, brief creators, audit coverage",Global,Resource,Content Strategy,Content Pillars
Klint SoMe Pillars [Doc],Klint SoMe Pillars,Slide deck defining Klint social media pillars and templates,"pillar list, post examples, template notes, formats, CTAs",Content strategy playbook,Beginner,N/A,Free,"onboard SoMe team, align post types, train interns, build template library",Global,Resource,Content Strategy,Content Pillars
Prompt - Content Pillars [Doc],Prompt - Content Pillars,Prompt for generating content pillars and themes,"prompt rules, output structure, categories, examples, constraints",AI prompt for strategy,Intermediate,N/A,Free,"create pillar sets, adapt to brand, generate topics, standardize frameworks",Global,Prompt,Content Strategy,Content Pillars
Written Elements Deconstructed - Social Media Post [Sheet],Written Elements Deconstructed - Social Media Post,Breakdown of copy elements used in social posts,"hooks, structure, CTA patterns, tone, formatting",Copywriting framework,Beginner,N/A,Free,"write consistent posts, QA copy, teach juniors, build prompts",Global,Resource,Content Strategy,Content Pillars
Prompt - Written Posts [Doc],Prompt - Written Posts,Prompt to write structured social media posts,"format rules, hooks, CTA guidance, length limits",AI prompt for copywriting,Intermediate,N/A,Free,"generate post drafts, create variants, repurpose content, platform adaptation",Global,Prompt,Content Strategy,Content Pillars
Career Archetypes and Roles [Sheet],Career Archetypes and Roles,Career archetypes and portfolio projects,Portfolio and ideas,Ideas,Beginners,Free,Varies,"Career planning, portfolio building, ideas",Global,Content Creation,Content Strategy,Content Pillars
,,,,,,,,,,,,
Inspiration Sources (Discovery By Channel),,,,,,,,,,,,
SoMe Insp. Tools [Sheet],SoMe Insp. Tools - GetHiredAbroad.com,"Tool list for social inspiration, trends, and content discovery","tool URLs, descriptions, pricing notes, freemium flags, use cases, expertise level",Social inspiration tool directory,Beginner,N/A,Free,"Find trending topics, discover viral posts, research hashtags, identify influencers, curate content ideas",Global,Tool List,Content Strategy,Inspiration Sources (Discovery By Channel)
Content Inspiration and Tools - TaylorRyanPortfolio [Sheet],Content Inspiraiton and Tools - TaylorRyanPortfolio,Idea bank and tools list for content production,"Topics, hooks, examples, tool links, categories",Inspiration and tools hub,Beginner,N/A,Free,"Generate post ideas, pick formats, discover tools, speed content planning",Global,Inspiration,Content Strategy,Inspiration Sources (Discovery By Channel)
Influencer Lists [Sheet],Influencer Lists - TaylorRyanPortfolio,Top LinkedIn influencers by function,"Find well-known influencers, LinkedIn",Inspiration,Beginners,Free,Varies,"Influencer research, content curation, branding",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
SoMe Insp. Tools [Sheet],SoMe Insp. Tools,Find posts via search and filter,Tools for high-value posts,Inspiration,Beginners,Free,Varies,"Content discovery, trend analysis, inspiration",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
Influencer and UGC Tools [Sheet],Influencer and UGC Tools,Find influencers via search and discovery,Overpriced influencer tools,Inspiration,Beginners,Paid,Varies,"Influencer discovery, UGC campaigns, branding",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
Groups by Network [Sheet],Groups by Network,Collection of groups by platforms,Find top posts in niche channels,Inspiration,Beginners,Free,Varies,"Networking, mentorship, niche content discovery",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
PR / News Search - Find Spark Moments [Sheet],PR / News Search - Find Spark Moments,Feed search and creation tools,"Discover trending topics, create feeds",Inspiration,Beginners,Free,Varies,"News aggregation, PR campaigns, trend analysis",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
Publishing Tools and Channels [Sheet],Publishing Tools and Channels,Publishing tools and platforms/channels,Posts across channels,Inspiration,Beginners,Free,Varies,"Content publishing, scheduling, analytics",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
Video Examples [Sheet],Video Examples,Examples of B2B video content,B2B video content,Inspiration,Beginners,Free,Varies,"Video marketing, product explainers, branding",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
Design Inspiration [Sheet],Design Inspiration,"Inspiration for design of landing pages, apps",For builders,Inspiration,Beginners,Free,Varies,"Landing page design, app design, UI inspiration",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
New Product Discovery [Sheet],New Product Discovery,Inspiration for products and startups,For builders,Inspiration,Beginners,Free,Varies,"Product discovery, startup research, innovation",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
Startup Listing Platforms [Sheet],Startup Listing Platforms,Startup listing platforms for discovery/listing,For builders,Tools,Beginners,Free,Varies,"Startup discovery, listing, networking",Global,Resource,Content Strategy,Inspiration Sources (Discovery By Channel)
,,,,,,,,,,,,
Content Curation,,,,,,,,,,,,
Curate Content [Sheet],Curate Content Planner,Content curation template,"Curating, organizing, publishing",Template,Beginners,Free template,Free,"Content curation, planning, publishing",Global,Resource,Content Strategy,Content Curation
Prompt - Content Repurposing [Doc],Prompt - Content Repurposing,Repurpose curated content,"Content repurposing, reuse, curation",Prompt,Beginners,Free prompt,Free,"Content repurposing, reuse, campaigns",Global,Prompt,Content Strategy,Content Curation