Name,URL,Description,Github,Vibecode Prompt,IDE Tool,Integrations,Inputs,Output,Usecases (2–3 examples),Target Users,Key Differentiators,Tech Stack,What It Proves,Image,File name
Images,,,,,,,,,,,,,,,
YT Thumbnail-Generator,https://ai.studio/apps/drive/1fU5j35zyXBtaJ-5-RZpx_lkqqVpt2C0U?fullscreenApplet=true,"An application to generate YouTube thumbnails using AI by analyzing content from a Google Sheet, user-uploaded faces, and text prompts.",https://github.com/KlintMarketing/YT-Thumbnail-Generator,Vibecode - YT Thumbnails - TR Portfolio,Google Ai Studio,NanaBanana,"Youtube Script, Headshot, Prompt",4 Thumbnail Options,"Bulk thumbnail generation for a content calendar, A/B testing concepts before publishing, consistent branded thumbnails across a channel","YouTubers, content marketers, agencies","Google Sheets bulk import, 4 thumbnail “psychology archetypes”, face-sync into cinematic scenes, export compression under 2MB","TypeScript + React (AI Studio template), Gemini API","Multimodal pipelines, batch creative ops, packaging AI into a product workflow",https://drive.google.com/file/d/1FML2MZ4O5Ra3HRd39erKKniVw1NJYiuj/view?usp=drive_link,YT Thumbnail Generator.png
Ai Character Generator,https://ai.studio/apps/drive/1AgarJPElZak2TtNZx2IZwvUX-DHDkrdc,"Upload your character and use AI to reimagine them in any setting, style, or scenario using Gemini's advanced image-to-image generation.",https://github.com/KlintMarketing/Ai-Character-Generator,Vibecode - Headshot Studio,Google Ai Studio,NanaBanana,"Character Image, Prompt",1 Character,"Character concept exploration for games, mascot variations for brand campaigns, story scenes for social content","Creators, game studios, Web3/NFT teams","Fast image-to-image reimagining, style + scenario control via prompt, clean single-output flow for iteration","TypeScript + React (AI Studio template), Gemini image-to-image","Creative direction via prompting, identity/style control, rapid prototyping UX",https://drive.google.com/file/d/11meYhNmFZFCtIL85_AN6q31nhrwMlvMD/view?usp=drive_link,Ai Character Generator.png
NanoMem,https://ai.studio/apps/drive/1E03qR53QMHz04MIElRpWpXbcsV1W3_s9,"A powerful meme generator using Gemini Nano Bana (Flash Image) to create, edit, and remix memes with multimodal inputs.",https://github.com/KlintMarketing/NanoMeme,Vibecode - NanoMeme,Google Ai Studio,NanaBanana,"Character Image, Prompt",4 Different Ai Characters,"Meme variations for X/Twitter growth, brand reaction memes for communities, remixing meme templates into new formats","Community marketers, social teams, meme creators","Multimodal remixing, clipboard image paste, 4-variant batch generation, local history of outputs","TypeScript + React (AI Studio template), Gemini 2.5 Flash Image","High-velocity creative iteration, consumer-grade UX for AI outputs, “content engine” thinking",https://drive.google.com/file/d/1l_c4qVOcbNtbEcvAOERdiOrVg_LYdk8l/view?usp=drive_link,NanoMeme.png
HairStudio,https://ai.studio/apps/drive/1s4vSV--ioFIb6GIe_OOFJj9wVWQqAcdf?fullscreenApplet=true,An ultra-realistic AI headshot generator that allows users to swap hairstyles while maintaining professional facial features.,https://github.com/KlintMarketing?tab=repositories,Vibecode - HairStudio,Google Ai Studio,NanaBanana,"Headshot, Model, Hair Style, Prompt",4 Different Styles,"Headshot refresh before job search, hairstyle previews before salon visits, consistent looks for creator branding","Job seekers, professionals, creators","Identity preservation while changing hair, “professional realism” constraint, multi-style output for quick selection","Google AI Studio app, Gemini image model workflow","Controlled editing (not just generation), realism constraints, strong “practical AI utility” product sense",https://drive.google.com/file/d/1liqcQAnlzya5cuXfiKPfyeyvM4r4Xj8f/view?usp=drive_link,Headshot Studio.png
,,,,,,,,,,,,,,,
Video,,,,,,,,,,,,,,,
AdFushion,https://ai.studio/apps/drive/1J35PTwcDad4ODvYz3J_SuJNUbVymypCs?fullscreenApplet=true,"A professional AI marketing image generator that seamlessly integrates reference models and products into high-quality, stylized scenes.",https://github.com/KlintMarketing/Adfushion,Vibecode - AdFusion,Google Ai Studio,"NanoBanana, Veo3, Veo3.1","Character Image, Object, Prompt",4 Unique Photos,"Rapid paid-social creative variations, product lifestyle shots without photoshoots, UGC-style ad mockups for testing hooks","DTC brands, performance marketers, agencies","Model + product placement in one workflow, high-quality stylized scenes from sparse inputs, outputs designed for fast creative testing loops","TypeScript + React + Vite (AI Studio template), Gemini API key via env config","Turning multimodal generation into a usable “creative production” tool, performance marketing intuition baked into an app",https://drive.google.com/file/d/1suVQQuE8-eWZBL2gjVSSsIqtvgBCz7Id/view?usp=drive_link,Adfushion.png
CineStudio,https://ai.studio/apps/drive/1EQYsbCoHSkHEOy6L1OimjWRm86ZijiMF?fullscreenApplet=true,A professional-grade video prompting and generation tool using Gemini 2.5 Image and Veo 3.1 models for end-to-end creative workflows.,https://github.com/KlintMarketing/CineStudio,Vibecode - CineStudio,Google Ai Studio,"Veo3, Veo3.1","Character Image, Location, Other Characters, Object, Prompt",8 Second Video,"Generate video ad concepts for rapid iterations, cinematic b-roll for landing pages, storyboard-style clips for pitches and product launches","Marketers, video creators, creative studios","Gemini 2.5 + Veo 3.1 pipeline, safe-to-share architecture (no hardcoded keys), production-aware billing requirement handling for Veo models","TypeScript + React + Vite, Gemini 2.5 + Veo 3.1, AI Studio secure key selector + local env support","End-to-end generative video workflow design, secure API key handling, shipping cutting-edge model capabilities as a product UI",https://drive.google.com/file/d/1NsGZLzJw6SNAUO7vw2SZJQKSQ9z7ue4_/view?usp=drive_link,CineStudio.png
,,,,,,,,,,,,,,,
Games,,,,,,,,,,,,,,,
PsiLab,https://ai.studio/apps/drive/1eazv38lv6TwGfAZdwoDX8PUABcSS0ufI,"PsiLab is a gamified hybrid web app that allows users to test, train, and improve their psychic and intuitive abilities through scientifically inspired and entertaining challenges.",https://github.com/KlintMarketing/PsiLab,Vibecode - PsiLab,Google Ai Studio,NanoBanana,"User guesses (cards, shapes, numbers), challenge selections, session history","Scores + outcomes, AI “performance report” insights","Daily intuition training sessions, fun party-style “ESP test” challenges, self-tracking progress over time","Curious builders, gamers, biohacker/wellness audiences","Multiple game modes (Zener cards, shape matching, remote viewing, number precognition), Gemini-powered personalized analysis reports, built with safe API key handling via env vars","TypeScript + React + Vite, Gemini API (via API_KEY in .env), component-based UI screens","Gamification + experimentation design, interactive UI state management, shipping an AI-enhanced consumer app experience",,PsyLab.png