"Resource","URL","Description","Notes","Type","Expertise to Use","Freemium","Pricing","Use cases","Region","Type"
"Gitcoin Governance – Gitcoin Grants","https://gov.gitcoin.co/","Governance forum for GitcoinDAO and Gitcoin Grants discussions","Grant rounds, budgeting, proposals, program design, impact measurement","Governance Forum","Intermediate","Free forum access and participation","Free","Understanding Gitcoin Grants, proposing programs, following decisions","Global","Resource"
"Gitcoin Grants Explorer","https://gitcoin.co/grants/explorer/collections/?ref=blockchaingrants.org","Quadratic funding platform for open-source and public goods grants","Matching rounds, categories, collections, impact scores","Grants Platform","Intermediate","Free to browse and donate","Free","Finding Gitcoin rounds, applying for funding, donating to projects","Global","Resource"
"Blockchain Grants","https://blockchaingrants.org/","Aggregator of 100s of hand-picked Web3 and crypto grant programs","Category filters (DeFi, infra, tooling, gaming, DAOs, NFT), community of 12k devs","Grant Directory","Beginner","Free grant search and newsletter","Free","Discovering early-stage Web3 grants, niche category filtering","Global","Resource"
"Web3 Grants & Support Programs – UseWeb3","https://www.useweb3.xyz/grants","Curated list of ecosystem grants and support programs for builders","L2s, L1s, infra, research, public goods, submission form for new programs","Grant Directory","Beginner","Free access to listings","Free","Finding ecosystem grants, infra/public goods support","Global","Resource"
"DeepDAO","https://deepdao.io/","Analytics and ranking platform for DAOs, including some grant DAOs","Treasury analytics, governance data, DAO discovery, grant committees","DAO Analytics Platform","Intermediate","Free analytics, paid API/pro for advanced","Free","Finding DAOs with grants, researching DAO treasuries","Global","Resource"
"Grant3 – Crypto & Web3 Grants List","https://www.grant3.co/crypto-web3-grants","Structured database of 90+ on-chain grant programs with amounts and tags","Chains, verticals, max amounts, tags (tooling, infra, DeFi, gaming, NFT)","Grant Directory","Intermediate","Free browsing of grant list","Free","Comparing program sizes, targeting by chain and vertical","Global","Resource"
"FindBlockchain Grants","https://findblockchaingrants.com/","Educational site and directory explaining and listing blockchain grants","Long-form explanations, examples, multiple ecosystems, use-case ideas","Grant Education & Directory","Beginner","Free content and listings","Free","Learning grant types, exploring ecosystem grants, ideation","Global","Resource"
"Blockworks Grantfarm","https://blockworks.co/grants","Live directory of specific on-chain grant bounties and RFPs","Project-level bounties, DeFi, tooling, education, DAO integrations","Bounty & Grant Directory","Intermediate","Free to browse; apply via linked programs","Free","Finding concrete bounties and RFPs, execution-focused grants","Global","Resource"
"DoraHacks BUIDLs","https://dorahacks.io/buidl","Grant and hackathon hub funding open-source BUIDLs across chains","Quadratic funding, hackathons, grants, chain filters, tech categories","Grants & Hackathon Platform","Intermediate","Free to create project and apply","Free","Getting Web3 grants, joining rounds, hackathon funding","Global","Resource"
"CLR.fund","https://clr.fund/#/","Protocol for quadratic funding rounds for Ethereum public goods","Permissionless QF rounds, protocol-level experimentation","QF Grants Protocol","Intermediate","Free protocol access where rounds exist","Free","Running or joining QF rounds, funding ETH public goods","Global","Resource"
"Giveth","https://giveth.io/","Zero-fee crypto donation & rewards platform for public-good projects","Verified projects, GIVbacks rewards, ReFi, community causes","Donation & Rewards Platform","Beginner","Free project listing and donating","Free","Raising donations, ReFi fundraising, recurring crypto giving","Global","Resource"
"Flow State","https://flowstate.network/","Onchain co-op for “builder-first” grants and retroactive impact rewards","Impact rounds, public goods focus, membership co-op, retro rewards","Impact Grants Collective","Intermediate","Free to view; membership/co-op model for deeper use","Free","Impact-focused grants, retroactive funding, public goods","Global","Resource"
"Questbook","https://questbook.app/","Grants OS used by ecosystems to run on-chain and off-chain grant programs","Grant manager tooling, grantee profiles, featured grants, referrals","Grants Management Platform","Intermediate","Free for builders to explore and apply","Free","Discovering ecosystem grants, getting referred to managers","Global","Resource"